,y_star,y_star_fmi,pet,prec_pet,prec_pet_max,prec_pet_min,imp_n,imp_r
Comment,OK,OK,OK,OK,OK,OK,OK,OK
1995Q1,,,18.38,,,,,
1995Q2,,,19.34,,,,,
1995Q3,,,17.87,,,,,
1995Q4,10636.97875,10636.975,18.13,,,,,
1996Q1,10705.5845,10705.575,19.76,,,,,
1996Q2,10811.458,10811.45,21.71,,,,,
1996Q3,10919.50725,10919.5,22.34,,,,,
1996Q4,11038.266,11038.25,24.63,,,,,
1997Q1,11155.01375,11155,22.85,,,,,
1997Q2,11273.542,11273.525,19.92,,,,,
1997Q3,11403.286,11403.275,19.8,,,,,
1997Q4,11529.157,11529.15,19.96,,,,,
1998Q1,11666.20975,11666.2,15.94,,,,,
1998Q2,11783.75025,11783.75,14.64,,,,,
1998Q3,11902.82025,11902.825,14.22,,,,,
1998Q4,12045.824,12045.825,12.93,,,,,
1999Q1,12188.5495,12188.55,13.17,,,,,
1999Q2,12329.7785,12329.775,17.65,,,,,
1999Q3,12474.975,12474.975,21.72,,,,,
1999Q4,12623.361,12623.375,24.6,,,,,
2000Q1,12754.4795,12754.5,28.9,,,,,
2000Q2,12918.56475,12918.575,28.92,,,,,
2000Q3,13044.543,13044.55,31.63,,,,,
2000Q4,13138.03525,13138.05,32.06,,,,,
2001Q1,13209.035,13209.05,28.76,28.76,28.76,28.76,14316.79989,24335.15509
2001Q2,13241.69625,13241.725,27.92,27.92,27.92,27.92,14401.55176,25452.83004
2001Q3,13257.75925,13257.775,26.7,26.7,26.7,26.7,15666.20283,27288.20144
2001Q4,13263.417,13263.425,20.5,20.5,20.5,20.5,16380.91082,29108.26471
2002Q1,13307.33175,13307.325,21.64,21.64,21.64,21.64,14377.37738,23822.00642
2002Q2,13351.32225,13351.325,26.27,26.27,26.27,26.27,15873.33407,27849.99555
2002Q3,13422.222,13422.225,28.32,28.32,28.32,28.32,15991.23795,27611.12598
2002Q4,13488.357,13488.35,28.3,28.3,28.3,28.3,17066.4418,28981.41203
2003Q1,13544.488,13544.475,34.04,34.04,34.04,34.04,16497.98121,25849.06561
2003Q2,13610.42575,13610.4,28.98,28.98,28.98,28.98,15939.24915,25947.53467
2003Q3,13720.02975,13720.025,30.22,30.22,30.22,30.22,17338.26792,27352.5006
2003Q4,13865.51925,13865.525,31.17,31.17,31.17,31.17,18914.3298,29675.18407
2004Q1,14013.74575,14013.75,35.34,35.34,35.34,35.34,18067.14325,26614.87777
2004Q2,14159.22325,14159.225,38.32,38.32,38.32,38.32,17776.00304,27849.46938
2004Q3,14281.142,14281.125,43.89,43.89,43.89,43.89,19189.48063,29082.61609
2004Q4,14399.696,14399.675,48.3,48.3,48.3,48.3,21308.52355,31509.72693
2005Q1,14538.5725,14538.55,49.9,49.9,49.9,49.9,18163.50349,25700.62952
2005Q2,14667.745,14667.725,53.11,53.11,53.11,53.11,19604.91855,28512.39933
2005Q3,14792.35975,14792.35,63.31,63.31,63.31,63.31,20960.24999,29367.57803
2005Q4,14901.269,14901.25,60.03,60.03,60.03,60.03,23207.44467,30784.00142
2006Q1,15020.3295,15020.325,63.27,63.27,63.27,63.27,21987.92853,27951.51346
2006Q2,15130.784,15130.775,70.46,70.46,70.46,70.46,22237.07119,29184.42729
2006Q3,15217.8405,15217.825,70.48,70.48,70.48,70.48,24953.07242,31705.20504
2006Q4,15315.94325,15315.925,59.94,59.94,59.94,59.94,25020.96864,32896.83115
2007Q1,15374.66025,15374.65,58.08,58.08,58.08,58.08,24989.67695,31857.74576
2007Q2,15448.72375,15448.725,64.97,64.97,64.97,64.97,24662.59,30831.31165
2007Q3,15540.49575,15540.5,75.22,75.22,75.22,75.22,28424.42966,33797.18363
2007Q4,15623.8715,15623.875,90.58,90.58,90.58,90.58,29673.30113,34780.22359
2008Q1,15679.859,15679.85,97.86,97.86,97.86,97.86,27930.47742,31177.97504
2008Q2,15733.6075,15733.6,123.78,123.78,123.78,123.78,30852.91891,30674.77931
2008Q3,15743.09675,15743.1,118.29,118.29,118.29,118.29,29403.3365,31165.69956
2008Q4,15642.962,15642.975,58.68,58.68,58.68,58.68,25832.26169,30727.85608
2009Q1,15514.10425,15514.125,43.14,43.14,43.14,43.14,22649.28468,26574.8846
2009Q2,15356.354,15356.375,59.61,59.61,59.61,59.61,22875.96644,26255.33242
2009Q3,15233.12525,15233.125,68.14,68.14,68.14,68.14,25296.92569,29829.14395
2009Q4,15236.26225,15236.275,76,76,76,76,27584.62286,31551.3981
2010Q1,15303.40825,15303.41475,78.81,78.81,78.81,78.81,26222.29603,29882.22336
2010Q2,15414.37225,15414.37175,77.82,77.82,77.82,77.82,28016.96458,30543.17891
2010Q3,15541.781,15541.79225,76.06,76.06,76.06,76.06,29916.65863,31265.81999
2010Q4,15648.991,15648.991,85.16,85.16,85.16,85.16,31771.28343,33945.04557
2011Q1,15727.454,15727.454,94.07,94.07,94.07,94.07,32232.2646,31365.50991
2011Q2,15795.25675,15795.25675,102.02,102.02,102.02,102.02,33967.62494,34205.58481
2011Q3,15831.35725,15831.35725,89.49,89.49,89.49,89.49,35720.04221,35189.54008
2011Q4,15891.534,15891.534,94.02,94.02,94.02,94.02,34100.48181,33632.27887
2012Q1,15994.04825,15994.04825,102.98,102.98,102.98,102.98,35199.11379,33426.77068
2012Q2,16088.27,16088.27,93.29,93.29,93.29,93.29,34055.83311,33978.94534
2012Q3,16191.13675,16191.13675,92.17,92.17,92.17,92.17,34474.85429,34430.86834
2012Q4,16253.97,16253.97,88.01,88.01,88.01,88.01,36369.67875,36288.29868
2013Q1,16319.34925,16319.34925,94.33,94.33,94.33,94.33,34315.32894,34315.49313
2013Q2,16372.01825,16372.01825,94.05,94.05,94.05,94.05,36399.44737,36399.55297
2013Q3,16450.16625,16450.16625,105.83,105.83,105.83,105.83,36633.45119,36633.42977
2013Q4,16553.3475,16553.3475,97.5,97.5,97.5,97.5,37082.89299,37082.64462
2014Q1,16606.538,16606.538,98.68,98.68,98.68,98.68,35612.86385,35014.20896
2014Q2,16707.46475,16707.46475,103.35,103.35,103.35,103.35,37806.95155,37322.2853
2014Q3,16824.933,16824.933,97.87,97.87,97.87,97.87,38199.0803,37909.11965
2014Q4,16932.05175,16932.05175,73.21,73.21,73.21,73.21,37514.85417,39053.11281
2015Q1,17088.65175,17088.65175,48.49,48.49,48.49,48.49,33930.11009,36935.72055
2015Q2,17216.84325,17216.84325,57.85,57.85,57.85,57.85,35436.49972,38866.9148
2015Q3,17309.95925,17309.95925,46.49,46.49,46.49,46.49,37265.86727,40723.35563
2015Q4,17390.29525,17390.29525,41.94,41.94,41.94,41.94,36476.8605,38219.09577
2016Q1,17461.49975,17461.49975,33.35,33.35,33.35,33.35,32290.61839,36596.89859
2016Q2,17520.92625,17520.92625,45.46,45.46,45.46,45.46,35363.91735,39409.42347
2016Q3,17592.7785,17592.7785,44.85,44.85,44.85,44.85,34730.59644,39231.22583
2016Q4,17680.27375,17680.27375,49.14,49.14,49.14,49.14,36265.97419,40965.7897
2017Q1,17763.06325,17763.06325,51.62,51.62,51.62,51.62,34647.15126,38392.48925
2017Q2,17857.6185,17857.6185,48.1,48.1,48.1,48.1,34858.40226,38909.44859
2017Q3,17958.05275,17958.05275,48.18,48.18,48.18,48.18,35960.84038,40081.49636
2017Q4,18079.084,18079.084,55.27,55.27,55.27,55.27,39714.7306,43232.29708
2018Q1,18213.99375,18213.99375,62.91,62.91,62.91,62.91,35608.78176,38631.72968
2018Q2,18362.29425,18362.29425,68.07,68.07,68.07,68.07,40255.5305,42332.67357
2018Q3,18500.6375,18500.6375,69.69,69.69,69.69,69.69,40584.9231,42179.1793
2018Q4,18606.7865,18606.7865,59.97,59.97,59.97,59.97,42578.30726,43779.30003
2019Q1,18706.01975,18706.01975,54.82,54.82,54.82,54.82,39615.1352,41426.41226
2019Q2,18804.15075,18804.15075,59.88,59.88,59.88,59.88,40856.25282,42942.8427
2019Q3,18912.41425,18912.41425,56.34,56.34,56.34,56.34,41508.05351,43871.90773
2019Q4,19032.6715,19032.6715,56.84,56.84,56.84,56.84,43767.06529,47076.34946
2020Q1,19062.37075,19062.37075,45.34,45.34,45.34,45.34,39160.27089,42417.7422
2020Q2,18631.29,18631.29,27.96,27.96,27.96,27.96,31415.73002,35406.84143
2020Q3,18493.32025,18493.32025,40.89,40.89,40.89,40.89,35667.29765,39892.02492
2020Q4,18384.68725,18384.68725,42.52,42.52,42.52,42.52,42591.91696,47624.39847
2021Q1,18410.603,18410.603,58.09,58.09,58.09,58.09,45567.54025,46024.23803
2021Q2,18938.12925,18938.15,66.19,66.19,66.19,66.19,51449.35862,49716.87234
2021Q3,19167.659,19167.675,70.58,70.58,70.58,70.58,55008.10298,50674.12707
2021Q4,19427.2895,19427.3,77.33,77.33,77.33,77.33,61267.73632,55442.26531
2022Q1,19597.35075,19597.35,95.18,95.18,95.18,95.18,,
2022Q2,19726.25306,19985.53957,,104.9536,121.25,70,,
2022Q3,19861.06374,20052.3188,,101.8155,136,67,,
2022Q4,19942.79874,20146.1101,,94.4788,130.3333,66,,
2023Q1,20067.30028,20253.86123,,90.6733,128.4833,59,,
2023Q2,20177.61721,20585.10576,,87.034,127.05,57,,
2023Q3,20274.70521,20583.70525,,87.0126,126.45,55,,
2023Q4,20362.14823,20609.47063,,,,,,
